datetime,asset_class,close,high,low,open,symbol,symbol_group,volume,expiry
2025-09-25 20:16:00+00:00,STK,148.23568540820145,197.3867846150736,146.81459432141503,197.3867846150736,SPY_STK,SPY,5248,
2025-09-25 20:17:00+00:00,STK,159.06979840173068,199.51908153865082,134.05728283431188,199.51908153865082,SPY_STK,SPY,4083,
2025-09-25 20:18:00+00:00,STK,110.63961670797082,194.52077467015258,110.63961670797082,194.02036788188286,SPY_STK,SPY,9412,
2025-09-25 20:19:00+00:00,STK,162.32144149548105,199.1024385998327,142.9365416923799,142.9365416923799,SPY_STK,SPY,4587,
2025-09-25 20:20:00+00:00,STK,178.4697551359142,184.3573845955949,115.40048534517807,184.3573845955949,SPY_STK,SPY,2752,
2025-09-25 20:21:00+00:00,STK,189.4414451611662,192.94325170092526,189.4414451611662,189.76593901989918,SPY_STK,SPY,7055,
2025-09-25 20:22:00+00:00,STK,138.07479085136404,197.71808020183622,138.07479085136404,197.71808020183622,SPY_STK,SPY,7096,
2025-09-25 20:23:00+00:00,STK,153.93803933768206,166.6881350519468,153.93803933768206,166.6881350519468,SPY_STK,SPY,3792,
2025-09-25 20:24:00+00:00,STK,100.70807979482288,138.84296368264287,100.70807979482288,109.75334983046969,SPY_STK,SPY,8725,
2025-09-25 20:25:00+00:00,STK,105.45885471063113,198.27996621736165,105.45885471063113,142.86867741727164,SPY_STK,SPY,7779,
2025-09-25 20:26:00+00:00,STK,179.8647256647248,192.20179917167982,117.44710401191297,179.4475230210194,SPY_STK,SPY,2156,
2025-09-25 20:27:00+00:00,STK,155.2971117981124,155.2971117981124,143.20723069176728,147.7284768821705,SPY_STK,SPY,4113,
2025-09-25 20:28:00+00:00,STK,150.8365188364324,198.46533279461434,109.09275587629662,198.46533279461434,SPY_STK,SPY,8093,
2025-09-25 20:29:00+00:00,STK,156.6315963744177,184.36413815315024,119.75420473741252,184.36413815315024,SPY_STK,SPY,8858,
2025-09-25 20:30:00+00:00,STK,145.992528288269,192.4420541470817,144.73355992807905,144.73355992807905,SPY_STK,SPY,8143,
2025-09-25 20:31:00+00:00,STK,174.38224871368504,188.98281913886893,149.96409338183852,179.11674306621515,SPY_STK,SPY,3390,
2025-09-25 20:32:00+00:00,STK,154.49654502039084,175.49782430847972,125.05483564568726,125.05483564568726,SPY_STK,SPY,3920,
2025-09-25 20:33:00+00:00,STK,159.05266116047082,195.73279123296015,159.05266116047082,189.36309411448983,SPY_STK,SPY,7618,
